epoch,batch_size,combination_number,dense_layers,epochs,loss,lr,lstm1_dropouts,lstm1_nodes,lstm_layers,optimizer,time_steps,val_loss
0,50,-1,"""[dense2_nodes, layers]""",60,0.05832568164914846,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.4837556630373001
1,50,-1,"""[dense2_nodes, layers]""",60,0.03838426973670721,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.20634686574339867
2,50,-1,"""[dense2_nodes, layers]""",60,0.03393553188070655,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.2055601254105568
3,50,-1,"""[dense2_nodes, layers]""",60,0.031081041600555182,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.21840449050068855
4,50,-1,"""[dense2_nodes, layers]""",60,0.03475210536271334,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.16992389038205147
5,50,-1,"""[dense2_nodes, layers]""",60,0.03471738984808326,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18348828703165054
6,50,-1,"""[dense2_nodes, layers]""",60,0.034065698739141226,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.19914479553699493
7,50,-1,"""[dense2_nodes, layers]""",60,0.028328630421310664,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.19827121123671532
8,50,-1,"""[dense2_nodes, layers]""",60,0.03618713095784187,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18667232990264893
9,50,-1,"""[dense2_nodes, layers]""",60,0.03211283758282661,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18099532276391983
10,50,-1,"""[dense2_nodes, layers]""",60,0.03112842934206128,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.20399630442261696
11,50,-1,"""[dense2_nodes, layers]""",60,0.029793541179969907,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.17596198245882988
12,50,-1,"""[dense2_nodes, layers]""",60,0.03759991843253374,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.16900666616857052
13,50,-1,"""[dense2_nodes, layers]""",60,0.03311936818063259,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.1982506513595581
14,50,-1,"""[dense2_nodes, layers]""",60,0.028513692039996385,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.1777995340526104
15,50,-1,"""[dense2_nodes, layers]""",60,0.03156105978414416,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.19065022096037865
16,50,-1,"""[dense2_nodes, layers]""",60,0.024085480999201537,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.21417606994509697
17,50,-1,"""[dense2_nodes, layers]""",60,0.02420144947245717,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18817969039082527
18,50,-1,"""[dense2_nodes, layers]""",60,0.02087861984036863,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.1802954152226448
19,50,-1,"""[dense2_nodes, layers]""",60,0.0204202679451555,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18569054454565048
20,50,-1,"""[dense2_nodes, layers]""",60,0.020881465962156655,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.171461820602417
21,50,-1,"""[dense2_nodes, layers]""",60,0.022543882299214602,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.19511793181300163
